1	2	3	4	7	16	19	26	27
5.5	-6	0.1	23	4.4	-22.7	0.5	3	2
6.4	-7.2	0.3	26	5	-22.7	1	1	2
6.65	-6.9	0.9	28	5	-23	1	1	2
6.8	-6.5	0.7	28	5	-23.8	1	1	2
7.1425	-6.59	0.4	18	3	-24.5	1	3	2
7.427615385	-9.09	0.021473872	18	3	-24.6	0.5	3	2
7.832227273	-6.48	0.4	18	3	-24.7	1	3	2
8.75	-7.1	0	28	5	-23.4	1	1	2
9.1	-6.8	0.5	23	5	-23.5	1	3	2
9.854210526	-7.1	0.307394076	16.66666667	3	-24.8	0.9	3	2
10.72723276	-6.98	0.466069537	16.36705731	3	-25.1	1.4	3	2
11.01194444	-6.15	1.151643721	16.26934814	3	-24.4	1.3	3	2
11.79678947	-6.91	0.738347263	16	3	-23.5	0.9	3	2
11.92436842	-7.95	0.4	16.10783631	3	-24.6	0.3	3	2
12.7	-7	0.3	23	5	-25.1	1	3	2
12.90873913	-5.83	0.4	16.93987718	3	-24.4	1.1	3	2
13.22955556	-4.81	0.390311578	17.21104777	3	-23.7	0.3	3	2
13.57140909	-5.7	0.977526613	17.5	3	-23.5	1	3	2
13.9805814	-4.3	0.261164632	19.05232644	3	-23.6	0.3	3	2
14.24	-4.23	0.313362104	20.03651413	3	-23.7	1	3	2
14.63625806	-4.5	0.149326991	21.53984622	3	-23.7	0.6	3	2
14.75754839	-5.65	0.327761376	22	3	-23.5	2.4	3	2
14.88171429	-5.88	0.300433212	21.93806817	3	-25.3	0.5	3	2
15.034	-6.09	0.4	21.86211066	3	-24.1	1	3	2
15.18428409	-5.69	0.4	21.78715152	3	-26.1	1	3	2
16.76242857	-5.85	0.253082787	21	3	-23.9	0.5	3	2
17.5	-7.1	0.6	23	5	-25.3	1	3	2
17.8	-7.2	1.4	20	5	-23.7	0.5	4	2
18.2	-7.3	0.5	20	5	-24.7	0.5	2	2
23	-7.2	0.5	23	5	-24.3	1	3	2
