2.99	19.6
2.99	18.9
2.99	18.7
3.52	23.2
3.52	23.4
3.51	23.7
3.39	23
3.34	21.4
2.92	19.7
2.72	18.7
2.86	19.9
2.91	20.4
3.4	21.4
3.11	20
2.72	19.9
2.95	20.6
2.85	17.8
2.7	18
2.7	18.5
2.7	19.7
3.11	20.4
2.88	19.7
2.97	20.9
3.02	21.5
2.83	20.7
2.83	19.1
2.83	20.8
2.8	18.2
2.9	21.8
2.92	18.5
2.95	20.8
2.95	19.8
3.3	21.7
3.3	23.1
3.04	19.6
2.89	19.4
3.16	20.6
3.16	20
3.01	20.4
2.98	19.4
3.09	19.5
2.7	15.5
2.74	16.1
2.75	16.2
3.1	17.6
3.14	20.6
2.79	20.6
2.94	20.1
2.74	17.7
2.88	21.2
2.7	17.6
2.9	18.9
2.97	22.5
2.97	22.9
2.97	21.7
2.68	17.5
2.68	19
2.68	18.9
3.35	23.2
2.65	18.8
2.48	17
2.48	18.2
2.48	17.4
2.48	15.4
2.49	15.7
2.49	16.2
2.49	16.2
2.49	15.6
2.85	18.4
2.73	19.1
3.17	19.3
2.85	19.6
2.96	19.9
3.15	20.7
2.94	20.8
2.95	20.9
2.9	21.7
2.9	21.5
2.9	21.2
2.9	20.7
2.9	20.4
3.25	20.3
3.17	22.7
3.18	22.1
3.2	21.1
3.12	20.4
3.07	20.3
3.07	20.7
3.06	19.9
3.05	20.1
3.05	20.2
3.05	20.5
3.04	18.8
3.04	18.5
3.03	18.5
3.03	19.6
3.03	18.7
3.02	19.9
3.02	18
3.01	18.7
3	18.5
3	19.2
3	17.7
3	20.1
2.99	19.1
2.98	18.7
2.97	18.5
2.97	18.1
2.97	18.2
2.96	20.1
2.96	19.7
2.96	19.8
2.95	18.8
2.93	19
2.92	16.9
2.9	17.3
2.82	16.2
2.86	17.1
2.89	17.4
2.89	17.4
2.82	17.4
2.79	17.4
2.82	17.4
2.74	17.6
2.87	17.7
2.74	17.8
2.83	17.8
2.86	17.9
2.73	17.9
2.89	18
2.82	18.2
2.87	18.3
2.79	18.3
2.77	18.6
2.88	18.7
2.81	18.8
2.88	18.8
2.88	19
2.82	19.3
2.87	19.6
2.83	20
2.87	20.5
2.88	21.1
3.16	23.1
3.16	21.4
3.16	20.5
3.11	19
2.95	19.5
3	20.2
3	20.9
2.96	19.9
2.95	19.5
2.9	19.5
2.9	21
2.83	19.2
2.82	19.6
2.79	18.6
2.79	18.6
2.7	18.6
2.58	17.7
2.58	18.7
2.58	19.4
2.58	18.9
2.78	19.4
2.68	18.8
2.64	18.2
2.6	18.4
2.59	16.9
2.58	17.9
2.57	17.7
2.57	18.8
3.26	21
3.18	21.8
3.17	20.1
3.16	19.7
3.15	20.9
3.11	21.9
3.1	21.2
3.09	20.2
3.07	21.2
3.05	19.4
3.04	21.3
3.02	21.3
2.97	19.1
2.9	21.8
2.76	15.5
3.32	20.1
3.32	22.8
3.46	21.1
3.48	20.8
3.24	21.7
3.1	21.7
3.08	21.9
3.08	21.1
3.06	22.9
3.06	22.1
3.04	22.7
3.02	20.9
3.02	20
3.02	18.9
3	21.9
3.06	20.1
3.19	19.4
